Gender,Age,Occupation,Travel_Frequency,Travel_Class,Flight_Preference,Booking_Mode,Price_Sensitivity,Loyalty_Program,Schedule_Preference,business,leisure,family_visit,education,medical,Airline_Selected,Influencing_Factors_brand_reputation,Influencing_Factors_free_food,Influencing_Factors_in_flight_service_quality,Influencing_Factors_loyalty_programs,Influencing_Factors_punctuality,Influencing_Factors_safety_rating,Influencing_Factors_seat_comfort,Influencing_Factors_ticket_price,Reward_Preference_cashback_or_discount,Reward_Preference_extra_baggage,Reward_Preference_free_flights,Reward_Preference_free_lounge_access,Reward_Preference_free_seat_upgrades,Reward_Preference_priority_check-in_boarding,Inflight_Priority_amenitiese.g_charging_ports_eye-mask_blankets,Inflight_Priority_cabin_crew_behavior,Inflight_Priority_extra_baggage_facility,Inflight_Priority_extra_legroom,Inflight_Priority_in-flight_entertainment,Inflight_Priority_seat_comfort
0,2,5,3,0,2,2,0,1.0,2,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
0,3,1,4,2,2,2,0,1.0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,0,4,1,1,0,3,2,0.0,0,0,1,1,1,0,2,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1
0,0,4,1,1,0,0,2,0.0,1,0,0,1,0,0,2,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1
0,2,5,4,2,2,4,2,1.0,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1
0,1,0,2,1,0,0,2,0.0,1,1,0,0,0,0,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
0,2,0,3,1,0,4,2,0.0,0,0,0,0,0,0,4,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
0,1,5,2,3,1,4,2,0.0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,2,5,2,1,3,2,2,0.0,2,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,1,0,4,0,3,3,2,0.0,1,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,5,3,2,3,1,2,0.0,1,1,0,0,0,0,4,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
0,1,5,2,3,2,1,2,0.0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
1,4,3,1,1,3,1,0,1.0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
0,2,5,2,1,3,4,2,0.0,0,0,1,0,0,0,3,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
1,0,4,3,2,0,2,2,0.0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0
