Gender,Age,Occupation,Purpose_of_Travel,Travel_Frequency,Travel_Class,Flight_Preference,Booking_Mode,Influencing_Factors,Airline_Last_Flown,Price_Sensitivity,Loyalty_Program,Reward_Preference,Schedule_Preference,Inflight_Priority,Purpose_List,business,leisure,family_visit,education,medical,others,indigo,spicejet,vistara,air_india,akasa,airline_count
man,35-44,working professional,others,4-6 flights,business,prefer 1-stop if cheaper,other,['punctuality'],other;,not sensitive,yes,"['cashback or discount', 'free seat upgrades']",evening,cabin crew behavior,['others'],0,1,0,0,0,0,1,0,0,0,0,1
man,45-60,government employee,others,7-10 flights,first class,prefer 1-stop if cheaper,other,['brand reputation'],indigo;,not sensitive,yes,['cashback or discount'],early morning,extra baggage facility,['others'],0,0,0,0,0,1,1,0,0,0,0,1
woman,19-24,student,leisure/vacation;family visit;education,1 flight,economy,direct flight only,"third party website (e.g makemytrip, goibibo)","['ticket price', 'brand reputation', 'safety rating']",indigo,very sensitive,no,"['cashback or discount', 'free seat upgrades', 'free flights']",afternoon,"['extra legroom', 'seat comfort', 'cabin crew behavior']","['leisure', 'family_visit', 'education']",0,1,1,1,0,0,1,0,0,0,0,1
man,19-24,student,others;,1 flight,economy,direct flight only,airline website/app,"['seat comfort', 'ticket price', 'in flight service quality']",indigo;air india;other;,very sensitive,no,"['free seat upgrades', 'free lounge access', 'free flights']",early morning,"['extra legroom', 'seat comfort', 'amenities(e.g charging ports, eye-mask, blankets)']",['others'],0,0,1,0,0,0,1,0,0,0,0,1
man,35-44,working professional,business,7-10 flights,first class,prefer 1-stop if cheaper,travel agent,"['brand reputation', 'safety rating', 'in flight service quality']",other;,very sensitive,yes,"['free seat upgrades', 'free flights', 'priority check-in/boarding']",late night,seat comfort,['business'],1,0,0,0,0,0,0,0,0,1,0,1
man,25-34,business owner,others,2-3 flights,economy,direct flight only,airline website/app,"['ticket price', 'in flight service quality']",other;,very sensitive,no,['cashback or discount'],early morning,cabin crew behavior,['others'],1,0,0,0,0,0,0,1,0,0,0,1
man,35-44,business owner,others,4-6 flights,economy,direct flight only,travel agent,"['safety rating', 'free food', 'punctuality']",vistara;,very sensitive,no,"['free seat upgrades', 'free lounge access']",afternoon,extra baggage facility,['others'],0,0,0,0,0,1,0,0,1,0,0,1
man,25-34,working professional,others,2-3 flights,premium economy,no preference,travel agent,['brand reputation'],spicejet;,very sensitive,no,['free flights'],afternoon,extra baggage facility,['others'],1,0,0,0,0,0,0,1,0,0,0,1
man,35-44,working professional,business,2-3 flights,economy,prefer layover for rest/personal reasons,other,"['safety rating', 'in flight service quality']",other;,very sensitive,no,['priority check-in/boarding'],evening,seat comfort,['business'],1,0,0,0,0,0,1,0,0,0,0,1
woman,25-34,business owner,business,7-10 flights,business,prefer layover for rest/personal reasons,"third party website (e.g makemytrip, goibibo)","['in flight service quality', 'punctuality']",other;,very sensitive,no,['free lounge access'],early morning,extra legroom,['business'],1,0,0,0,0,0,1,0,0,0,0,1
woman,25-34,working professional,others,4-6 flights,first class,prefer layover for rest/personal reasons,corporate booking portal,"['loyalty programs', 'ticket price', 'in flight service quality']",other;,very sensitive,no,"['priority check-in/boarding', 'free seat upgrades']",early morning,extra baggage facility,['others'],1,0,0,0,0,0,0,0,1,0,0,1
man,25-34,working professional,others,2-3 flights,premium economy,prefer 1-stop if cheaper,corporate booking portal,['free food'],vistara;,very sensitive,no,"['free flights', 'priority check-in/boarding']",early morning,cabin crew behavior,['others'],0,0,0,0,0,1,0,0,1,0,0,1
woman,60+,others,others,1 flight,economy,prefer layover for rest/personal reasons,corporate booking portal,['free food'],indigo;,not sensitive,yes,"['free lounge access', 'free seat upgrades', 'free flights']",early morning,seat comfort,['others'],0,0,1,0,0,0,1,0,0,0,0,1
man,35-44,working professional,others,2-3 flights,economy,prefer layover for rest/personal reasons,travel agent,"['brand reputation', 'in flight service quality']",other;,very sensitive,no,"['cashback or discount', 'free seat upgrades', 'priority check-in/boarding']",afternoon,"amenities(e.g charging ports, eye-mask, blankets)",['others'],0,1,0,0,0,0,0,1,0,0,0,1
woman,19-24,student,others,4-6 flights,first class,direct flight only,other,"['in flight service quality', 'ticket price']",indigo;,very sensitive,no,"['priority check-in/boarding', 'cashback or discount', 'free flights']",afternoon,cabin crew behavior,['others'],0,1,0,0,0,0,1,0,0,0,0,1
woman,45-60,government employee,others,2-3 flights,economy,direct flight only,corporate booking portal,['free food'],other;,very sensitive,no,"['free seat upgrades', 'priority check-in/boarding', 'free lounge access']",early morning,extra legroom,['others'],0,0,1,0,0,0,1,0,0,0,0,1
man,45-60,government employee,others,4-6 flights,business,prefer layover for rest/personal reasons,airline website/app,['free food'],other;,not sensitive,yes,['free seat upgrades'],early morning,cabin crew behavior,['others'],0,0,1,0,0,0,0,0,0,1,0,1
